Region,Status,Population,SNP,Family,Age_SD,Ageatmaturity,Length_SD,Finallength,Growth_SD,growthrate3mm,inverseloggrowth,inversesqrtage,Familymeans_age,Familymeans_length,Familymeans_growth
South,Native,Clearwater04, ,CW1-147, ,186, ,5.35, ,.02459,-.269875273325427,.0733235575106767,241.142857142857,5.136,.024530625
South,Native,Clearwater04, ,CW1-147, ,236, , , ,.024,-.268117975063714,.0650944554904119,241.142857142857,5.136,.024530625
South,Native,Clearwater04, ,CW1-147, ,252, ,5.335, ,.019608,-.25433529563246,.0629940788348712,241.142857142857,5.136,.024530625
South,Native,Clearwater04, ,CW1-147, ,315, ,4.712, ,.018519,-.250692032415978,.0563436169819011,241.142857142857,5.136,.024530625
South,Native,Clearwater04, ,CW1-147, ,366, ,4.574, ,.019608,-.25433529563246,.0522708373489317,241.142857142857,5.136,.024530625
Invasive,Invasive,Gb,1,Gb4,37.339,179,.40857,5.21,.005571,.01700934579,-.245459470246138,.0747435092751936,210.4,5.014,.020237334556
Invasive,Invasive,Gb,1,Gb4,37.339,268,.40857,5.55,.005571,.01401162791,-.234309042237357,.0610847221781526,210.4,5.014,.020237334556
Invasive,Invasive,Gb,1,Gb4,37.339,213,.40857,4.89,.005571,.01471698113,-.237036853139048,.0685188709827532,210.4,5.014,.020237334556
Invasive,Invasive,Gb,1,Gb4,37.339,215,.40857,4.25,.005571,.02794871795,-.279533875597548,.0681994339470473,210.4,5.014,.020237334556
Invasive,Invasive,Gb,1,Gb4,37.339,177,.40857,5.17,.005571,.0275,-.278274863698604,.0751646028002829,210.4,5.014,.020237334556
Invasive,Invasive,Gb,1,Gb5,37.339,161,.40857,4.34,.005571,.01327102804,-.231365158221637,.0788110406239101,166.25,4.7825,.016915780166
Invasive,Invasive,Gb,1,Gb5,37.339,191,.40857,5.01,.005571,.02337349398,-.266229862653289,.0723574605292422,166.25,4.7825,.016915780166
Invasive,Invasive,Gb,1,Gb5,37.339,140,.40857,4.9,.005571,.01714285714,-.24593145235905,.0845154254728517,166.25,4.7825,.016915780166
