Status,Population,Family,Ageatmaturity,Finallength,growthrate3mm,Ageatmaturitytimes100,Finallengthtimes100,growthratetimes100,Ageatmaturityboxcox,Finallengthboxcox,growthrate3mmboxcox,ResidualAgeatmaturity,ResidualFinallength
Native,AlexShal,AS39,213, ,.02459,21300, ,2.459,.273723, ,.90016,.0577530823381707, 
Native,AlexShal,AS39,275,6.113,.035294,27500,611.3,3.5294,.264781,611.3,1.2613,-1.42993255226732,1.60757225021165
Native,AlexShal,AS39,296,4.121,.015228,29600,412.1,1.5228,.26226,412.1,.41871,-.436833494486423,-1.29360192761893
Native,Clearwat,CW1-146, , , , , , , , , , , 
Native,Clearwat,CW1-146, , , , , , , , , , , 
Native,Clearwat,CW1-146, , , , , , , , , , , 
Native,Clearwat,CW1-146, , ,.015707, , ,1.5707, , ,.45108, , 
Native,Clearwat,CW1-146, , , , , , , , , , , 
Native,Clearwat,CW1-146, , , , , , , , , , , 
Native,Clearwat,CW1-146, , ,.02, , ,2, , ,.69315, , 
Native,Clearwat,CW1-146, , ,.023256, , ,2.3256, , ,.84587, , 
Native,Clearwat,CW1-146,177, ,.021898,17700, ,2.1898,.280391, ,.7839,.938214496621261, 
Native,Clearwat,CW1-146,183,4.321,.025,18300,432.1,2.5,.279178,432.1,.91629,.611667124633261,-1.25650464840362
Native,Clearwat,CW1-146,248,3.403,.015544,24800,340.3,1.5544,.268362,340.3,.43825,.180539682334075,-2.53825901691744
Native,Clearwat,CW1-146,438,3.826,.007335,43800,382.6,.7335,.249235,382.6,-.31471,-.720073379666313,-1.34863462037823
Native,Clearwat,CW1-147, , ,.028302, , ,2.8302, , ,1.04028, , 
Native,Clearwat,CW1-147,158,5.211,.029703,15800,521.1,2.9703,.28456,521.1,1.08856,.924311751238862,.165377906992267
Native,Clearwat,CW1-147,175,5.634,.031915,17500,563.4,3.1915,.280805,563.4,1.16002,.419532483249061,.847582828782481
Native,Clearwat,CW1-147,186,5.35,.02459,18600,535,2.459,.278589,535,.90016,.573378888383745,.519964605835369
Native,Clearwat,CW1-147,236, ,.024,23600, ,2.4,.270098, ,.87547,-.289442028091232, 
Native,Clearwat,CW1-147,252,5.335,.019608,25200,533.5,1.9608,.267805,533.5,.67294,-.229501711141778,.634064141222968
Native,Clearwat,CW1-147,315,4.712,.018519,31500,471.2,1.8519,.260147,471.2,.61519,-.954606900874394,-.399930210924465
Native,Clearwat,CW1-147,366,4.574,.019608,36600,457.4,1.9608,.255122,457.4,.67294,-1.57345610860911,-.672386828035154
Native,Gunn 03,GN3-184, , ,.03, , ,3, , ,1.09861, , 
Native,Gunn 03,GN3-184,190,6.229,.0375,19000,622.9,3.75,.277819,622.9,1.32176,-.138788800888289,1.76950357264308
Native,Gunn 03,GN3-184,195,5.802,.034884,19500,580.2,3.4884,.276882,580.2,1.2499,-.130599156653182,1.08067782332124
Native,Gunn 03,GN3-184,202,6.025,.032609,20200,602.5,3.2609,.275616,602.5,1.18173,-.162791028867458,1.50547203222593
Native,Gunn 03,GN3-184,222,6.235,.022059,22200,623.5,2.2059,.272254,623.5,.79299,.0623814540574836,2.1052549630731
Native,Gunn 03,GN3-184,233, , ,23300, , ,.270548, , , , 
Native,Gunn 03,GN3-184,322,4.951,.013636,32200,495.1,1.3636,.259405,495.1,.30748,-.573000224186792,.199765750333969
Native,Gunn 03,GN3-184,431,5.388, ,43100,538.8, ,.249757,538.8, , , 
Native,Gunn09,GN9-155,154,3.548,.036145,15400,354.8,3.6145,.285511,354.8,1.28371,.733204419491675,-2.80969877610386
Native,Gunn09,GN9-155,175,4.084,.024,17500,408.4,2.4,.280805,408.4,.87547,.845125482251964,-1.63825154881197
Native,Gunn09,GN9-155,201,3.588,.019355,20100,358.8,1.9355,.275794,358.8,.66269,.632383485502166,-2.35879905697541
Native,Gunn09,GN9-155,224,3.782,.015707,22400,378.2,1.5707,.271937,378.2,.45108,.540175191960011,-1.89550535886931
Native,Grasmere,GR41, , ,.01875, , ,1.875, , ,.63127, , 
Native,Grasmere,GR41, , ,.031915, , ,3.1915, , ,1.16002, , 
Native,Grasmere,GR41, , , , , , , , , , , 
Native,Grasmere,GR41,216,5.963,.024793,21600,596.3,2.4793,.273225,596.3,.90826,-.0071324293991725,1.5673503129505
Native,Grasmere,GR41,216,6.094,.023256,21600,609.4,2.3256,.273225,609.4,.84587,.0861824439369448,1.83064549914208
Native,Grasmere,GR41,358,5.875,.014706,35800,587.5,1.4706,.255856,587.5,.38526,-1.06540333389609,1.73817532444483
Native,Grasmere,GR41,380,4.867,.012448,38000,486.7,1.2448,.25388,486.7,.21511,-1.02030191042333,.112410783191641
Native,Grasmere,GR41,408,5.701,.016854,40800,570.1,1.6854,.251544,570.1,.52473,-1.73092566089045,1.35361794159797
Native,Grasmere,GR44,176,5.808, ,17600,580.8, ,.280597,580.8, , , 
Native,Grasmere,GR44,206,5.95,.017751,20600,595,1.7751,.274914,595,.57661,.667881568519121,1.74915862658196
Native,Grasmere,GR44,214, ,.025424,21400, ,2.5424,.273556, ,.93216,-.00780452794686297, 
Native,Grasmere,GR44,228,6.015, ,22800,601.5, ,.271312,601.5, , , 
Native,Grasmere,GR44,235,6.51, ,23500,651, ,.270247,651, , , 
Native,Grasmere,GR44,239,6.186,.039474,23900,618.6,3.9474,.269655,618.6,1.37372,-1.08160228713763,1.66370239974473
Native,Grasmere,GR44,280,6.232,.016216,28000,623.2,1.6216,.264161,623.2,.48243,-.330698099056772,2.29125021944777
Native,Grasmere,GR44,282,5.887,.045455,28200,588.7,4.5455,.263917,588.7,1.51513,-1.90113233862482,1.06335652982066
Native,Grasmere,GR44,434,6.932, ,43400,693.2, ,.249532,693.2, , , 
Native,Grasmere,GR45, , , , , , , , , , , 
Native,Grasmere,GR45, , ,.035294, , ,3.5294, , ,1.2613, , 
Native,Grasmere,GR45, , ,.015228, , ,1.5228, , ,.41871, , 
Native,Grasmere,GR45, , , , , , , , , , , 
Native,Grasmere,GR45, , , , , , , , , , , 
Native,Grasmere,GR45, , , , , , , , , , , 
Native,Grasmere,GR45, , , , , , , , , , , 
Native,Grasmere,GR45,583,5.208,.006742,58300,520.8,.6742,.240139,520.8,-.40048,-1.55564759039606,1.07671182885563
Native,Grasmere,GR48, , , , , , , , , , , 
Native,Grasmere,GR48, , , , , , , , , , , 
Native,Grasmere,GR48, , , , , , , , , , , 
Native,Grasmere,GR48, , ,.021898, , ,2.1898, , ,.7839, , 
